timestamp,evento,latencia_ms,espera_cola_ms
2026-06-03 20:00:00.000000,HIT,4.07,0.0
2026-06-03 20:00:00.005600,MISS,47.67,3.0
2026-06-03 20:00:00.011200,HIT,3.1,6.0
2026-06-03 20:00:00.016800,MISS,62.95,9.0
2026-06-03 20:00:00.022400,HIT,5.17,12.0
2026-06-03 20:00:00.028000,HIT,5.38,15.0
2026-06-03 20:00:00.033600,HIT,3.26,18.0
2026-06-03 20:00:00.039200,HIT,3.38,21.0
2026-06-03 20:00:00.044800,MISS,77.46,24.0
2026-06-03 20:00:00.050400,HIT,5.63,27.0
2026-06-03 20:00:00.056000,HIT,4.39,30.0
2026-06-03 20:00:00.061600,HIT,3.05,33.0
2026-06-03 20:00:00.067200,HIT,3.64,36.0
2026-06-03 20:00:00.072800,HIT,4.64,39.0
2026-06-03 20:00:00.078400,MISS,39.31,42.0
2026-06-03 20:00:00.084000,HIT,3.88,45.0
2026-06-03 20:00:00.089600,HIT,3.04,48.0
2026-06-03 20:00:00.095200,MISS,52.75,51.0
2026-06-03 20:00:00.100800,HIT,4.04,54.0
2026-06-03 20:00:00.106400,HIT,3.37,57.0
2026-06-03 20:00:00.112000,HIT,3.4,60.0
2026-06-03 20:00:00.117600,HIT,3.96,63.0
2026-06-03 20:00:00.123200,HIT,4.62,66.0
2026-06-03 20:00:00.128800,HIT,5.61,69.0
2026-06-03 20:00:00.134400,HIT,3.9,72.0
2026-06-03 20:00:00.140000,HIT,3.89,75.0
2026-06-03 20:00:00.145600,HIT,4.55,78.0
2026-06-03 20:00:00.151200,MISS,17.58,81.0
2026-06-03 20:00:00.156800,HIT,3.82,84.0
2026-06-03 20:00:00.162400,HIT,3.09,87.0
2026-06-03 20:00:00.168000,HIT,5.02,90.0
2026-06-03 20:00:00.173600,HIT,5.99,93.0
2026-06-03 20:00:00.179200,HIT,4.16,96.0
2026-06-03 20:00:00.184800,HIT,5.62,99.0
2026-06-03 20:00:00.190400,HIT,5.48,102.0
2026-06-03 20:00:00.196000,HIT,4.89,105.0
2026-06-03 20:00:00.201600,HIT,4.67,108.0
2026-06-03 20:00:00.207200,HIT,3.66,111.0
2026-06-03 20:00:00.212800,MISS,25.46,114.0
2026-06-03 20:00:00.218400,HIT,5.73,117.0
2026-06-03 20:00:00.224000,HIT,4.59,120.0
2026-06-03 20:00:00.229600,HIT,4.52,123.0
2026-06-03 20:00:00.235200,HIT,4.16,126.0
2026-06-03 20:00:00.240800,HIT,4.02,129.0
2026-06-03 20:00:00.246400,HIT,3.69,132.0
2026-06-03 20:00:00.252000,HIT,5.07,135.0
2026-06-03 20:00:00.257600,HIT,5.99,138.0
2026-06-03 20:00:00.263200,HIT,5.57,141.0
2026-06-03 20:00:00.268800,HIT,5.44,144.0
2026-06-03 20:00:00.274400,HIT,3.51,147.0
2026-06-03 20:00:00.280000,HIT,3.51,150.0
2026-06-03 20:00:00.285600,HIT,4.62,153.0
2026-06-03 20:00:00.291200,MISS,28.56,156.0
2026-06-03 20:00:00.296800,MISS,27.88,159.0
2026-06-03 20:00:00.302400,HIT,3.95,162.0
2026-06-03 20:00:00.308000,HIT,4.53,165.0
2026-06-03 20:00:00.313600,HIT,5.49,168.0
2026-06-03 20:00:00.319200,HIT,3.84,171.0
2026-06-03 20:00:00.324800,HIT,5.28,174.0
2026-06-03 20:00:00.330400,HIT,5.16,177.0
2026-06-03 20:00:00.336000,HIT,3.28,180.0
2026-06-03 20:00:00.341600,HIT,4.76,183.0
2026-06-03 20:00:00.347200,HIT,3.59,186.0
2026-06-03 20:00:00.352800,HIT,6.0,189.0
2026-06-03 20:00:00.358400,HIT,3.57,192.0
2026-06-03 20:00:00.364000,HIT,4.71,195.0
2026-06-03 20:00:00.369600,HIT,3.32,198.0
2026-06-03 20:00:00.375200,HIT,3.71,201.0
2026-06-03 20:00:00.380800,HIT,4.14,204.0
2026-06-03 20:00:00.386400,HIT,4.79,207.0
2026-06-03 20:00:00.392000,MISS,51.18,210.0
2026-06-03 20:00:00.397600,HIT,3.4,213.0
2026-06-03 20:00:00.403200,HIT,3.35,216.0
2026-06-03 20:00:00.408800,HIT,5.98,219.0
2026-06-03 20:00:00.414400,HIT,4.08,222.0
2026-06-03 20:00:00.420000,MISS,57.27,225.0
2026-06-03 20:00:00.425600,HIT,4.62,228.0
